cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count,frame
SMALL_BLOB,0.39,0,195.0,1,1,2,2225
LIGHT_TRACK,0.971,0,486.0,6.0,1.667,8,2225
SMALL_BLOB,0.164,0,82.0,1,1,1,2232
SMALL_BLOB,0.386,0,193.0,1,1,2,2232
SMALL_BLOB,0.052,0,26.0,1,1,1,2237
SMALL_BLOB,0.152,0,76.0,1,1,1,2245
SMALL_BLOB,0.178,0,89.0,1,1,1,2247
SMALL_BLOB,0.15,0,75.0,1,1,1,2249
LIGHT_TRACK,0.858,0,429.0,3.0,2.0,6,2250
LIGHT_TRACK,0.929,0,465.0,5.0,1.5,6,2255
SMALL_BLOB,0.12,0,60.0,1,1,1,2263
SMALL_BLOB,0.184,0,92.0,1,1,2,2268
LIGHT_TRACK,1.13,2,565.0,2.0,3.0,6,2278
LIGHT_TRACK,0.921,0,461.0,4.667,1.429,6,2278
SMALL_BLOB,0.3,0,150.0,1,1,1,2280
SMALL_BLOB,0.232,0,116.0,1,1,2,2282
SMALL_BLOB,0.24,0,120.0,1,1,1,2295
SMALL_BLOB,0.096,0,48.0,1,1,1,2295
SMALL_BLOB,0.23,0,115.0,1,1,1,2296
SMALL_BLOB,0.916,0,458.0,1.0,3.0,3,2299
LIGHT_TRACK,1.088,0,545.0,6.5,1.538,8,2300
LIGHT_TRACK,0.491,0,246.0,1,1,5,2310
SMALL_BLOB,0.31,0,155.0,1,1,2,2310
LIGHT_TRACK,3.669,0,1869.0,5.9,0.392,25,2312
SMALL_BLOB,0.06,0,30.0,1,1,1,2315
SMALL_BLOB,0.144,0,72.0,1,1,1,2316
SMALL_BLOB,0.944,0,472.0,1.0,3.0,3,2321
LIGHT_TRACK,1.012,0,506.0,1.5,1.667,5,2330
SMALL_BLOB,0.136,0,68.0,1,1,1,2331
SMALL_BLOB,0.944,0,472.0,1.0,3.0,3,2343
SMALL_BLOB,0.582,0,291.0,1.0,4.0,4,2348
SMALL_BLOB,0.244,0,122.0,1,1,1,2366
SMALL_BLOB,0.366,0,183.0,1,1,1,2370
SMALL_BLOB,0.214,0,107.0,1,1,2,2370
SMALL_BLOB,0.13,0,65.0,1,1,2,2371
STRAIGHT_TRACK,2.396,0,1211.0,9.091,0.823,20,2380
SMALL_BLOB,0.04,0,20.0,1,1,1,2383
SMALL_BLOB,0.883,0,442.0,1.0,4.0,4,2384
SMALL_BLOB,0.524,0,262.0,1,1,1,2387
SMALL_BLOB,0.204,0,102.0,1,1,2,2398
LIGHT_TRACK,2.895,0,1448.0,3.0,2.0,6,2399
MEDIUM_BLOB,5.017,3,2509.0,1.0,2.0,8,2415
SMALL_BLOB,0.202,0,101.0,1,1,1,2435
SMALL_BLOB,0.058,0,29.0,1,1,1,2435
SMALL_BLOB,0.26,0,130.0,1,1,1,2439
SMALL_BLOB,0.374,0,187.0,1,1,1,2445
